,DateTime,baseline_grid_to_plant_kW,baseline_treatment_flow_m3_hr,flexible_grid_to_plant_kW,flexible_treatment_flow_m3_hr,electricity_TOU,electricity_demand1,electricity_demand2,electricity_demand3
44,2023-07-01 11:00:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
45,2023-07-01 11:15:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
46,2023-07-01 11:30:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
47,2023-07-01 11:45:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
48,2023-07-01 12:00:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
49,2023-07-01 12:15:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
50,2023-07-01 12:30:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
51,2023-07-01 12:45:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
52,2023-07-01 13:00:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
53,2023-07-01 13:15:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
54,2023-07-01 13:30:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
55,2023-07-01 13:45:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
56,2023-07-01 14:00:00,1744.019632034112,120.15,1537.6055597117609,109.12969159325132,0.11735,0.0,5.32,20.7
57,2023-07-01 14:15:00,1744.019632034112,120.15,1537.6055597117609,109.12969159325132,0.11735,0.0,5.32,20.7
58,2023-07-01 14:30:00,1744.019632034112,120.15,1537.6055597117609,109.12969159325132,0.11735,0.0,5.32,20.7
59,2023-07-01 14:45:00,1744.019632034112,120.15,1537.6055597117609,109.12969159325132,0.11735,0.0,5.32,20.7
60,2023-07-01 15:00:00,1744.019632034112,120.15,1537.6055597117609,109.12969159325132,0.11735,0.0,5.32,20.7
61,2023-07-01 15:15:00,1744.019632034112,120.15,1537.6055597117609,109.12969159325132,0.11735,0.0,5.32,20.7
62,2023-07-01 15:30:00,1744.019632034112,120.15,1537.6055597117609,109.12969159325131,0.11735,0.0,5.32,20.7
63,2023-07-01 15:45:00,1744.019632034112,120.15,1537.6055597117609,109.12969159325132,0.11735,0.0,5.32,20.7
64,2023-07-01 16:00:00,1744.019632034112,120.15,213.60000000000002,0.0,0.14484,26.8,0.0,20.7
65,2023-07-01 16:15:00,1744.019632034112,120.15,213.60000000000002,0.0,0.14484,26.8,0.0,20.7
66,2023-07-01 16:30:00,1744.019632034112,120.15,213.60000000000002,4.649279433448949e-54,0.14484,26.8,0.0,20.7
67,2023-07-01 16:45:00,1744.019632034112,120.15,213.60000000000002,0.0,0.14484,26.8,0.0,20.7
68,2023-07-01 17:00:00,1744.019632034112,120.15,213.60000000000002,0.0,0.14484,26.8,0.0,20.7
69,2023-07-01 17:15:00,1744.019632034112,120.15,213.60000000000002,0.0,0.14484,26.8,0.0,20.7
70,2023-07-01 17:30:00,1744.019632034112,120.15,213.60000000000002,0.0,0.14484,26.8,0.0,20.7
71,2023-07-01 17:45:00,1744.019632034112,120.15,213.60000000000002,0.0,0.14484,26.8,0.0,20.7
72,2023-07-01 18:00:00,1744.019632034112,120.15,213.60000000000002,0.0,0.14484,26.8,0.0,20.7
73,2023-07-01 18:15:00,1744.019632034112,120.15,213.60000000000002,9.380125172747879e-55,0.14484,26.8,0.0,20.7
74,2023-07-01 18:30:00,1744.019632034112,120.15,213.60000000000002,8.972293643497971e-55,0.14484,26.8,0.0,20.7
75,2023-07-01 18:45:00,1744.019632034112,120.15,213.60000000000002,0.0,0.14484,26.8,0.0,20.7
76,2023-07-01 19:00:00,1744.019632034112,120.15,213.60000000000002,0.0,0.14484,26.8,0.0,20.7
77,2023-07-01 19:15:00,1744.019632034112,120.15,213.60000000000002,0.0,0.14484,26.8,0.0,20.7
78,2023-07-01 19:30:00,1744.019632034112,120.15,213.60000000000002,0.0,0.14484,26.8,0.0,20.7
79,2023-07-01 19:45:00,1744.019632034112,120.15,213.60000000000002,0.0,0.14484,26.8,0.0,20.7
80,2023-07-01 20:00:00,1744.019632034112,120.15,213.60000000000002,0.0,0.14484,26.8,0.0,20.7
